epoch,total,mle,pl,ode,ic,monotonic,min_slope,baseline_ref
1,1.027788758277893,-0.36042162775993347,5.552841663360596,0.0,0.0,0.0,0.0,0.0
2,0.9810046553611755,-0.4072057604789734,5.552841663360596,0.0,0.0,0.0,0.0,0.0
3,0.9370192885398865,-0.45119112730026245,5.552841663360596,0.0,0.0,0.0,0.0,0.0
4,0.8966442346572876,-0.49156618118286133,5.552841663360596,0.0,0.0,0.0,0.0,0.0
5,0.8610609769821167,-0.5271494388580322,5.552841663360596,0.0,0.0,0.0,0.0,0.0
6,0.8318628072738647,-0.5563477277755737,5.552842140197754,0.0,0.0,0.0,0.0,0.0
7,0.810874879360199,-0.5773356556892395,5.552842140197754,0.0,0.0,0.0,0.0,0.0
8,0.7982814311981201,-0.5899292230606079,5.552842617034912,0.0,0.0,0.0,0.0,0.0
9,0.7891661524772644,-0.5990443825721741,5.552842140197754,0.0,0.0,0.0,0.0,0.0
10,0.77851402759552,-0.609696626663208,5.552842617034912,0.0,0.0,0.0,0.0,0.0
11,0.7647246718406677,-0.6234858632087708,5.552842140197754,0.0,0.0,0.0,0.0,0.0
12,0.7484360337257385,-0.6397745013237,5.552842140197754,0.0,0.0,0.0,0.0,0.0
13,0.7311803102493286,-0.6570301055908203,5.552841663360596,0.0,0.0,0.0,0.0,0.0
14,0.714457094669342,-0.6737534403800964,5.552842140197754,0.0,0.0,0.0,0.0,0.0
15,0.6993565559387207,-0.6888539791107178,5.552842140197754,0.0,0.0,0.0,0.0,0.0
16,0.6862993240356445,-0.701911211013794,5.552842140197754,0.0,0.0,0.0,0.0,0.0
17,0.6749254465103149,-0.7132850885391235,5.552842140197754,0.0,0.0,0.0,0.0,0.0
18,0.6645791530609131,-0.7236313819885254,5.552842140197754,0.0,0.0,0.0,0.0,0.0
19,0.6546545028686523,-0.7335560321807861,5.552842140197754,0.0,0.0,0.0,0.0,0.0
20,0.6447606682777405,-0.7434499859809875,5.552842617034912,0.0,0.0,0.0,0.0,0.0
21,0.63475102186203,-0.7534595131874084,5.552842140197754,0.0,0.0,0.0,0.0,0.0
22,0.6246829032897949,-0.7635278701782227,5.55284309387207,0.0,0.0,0.0,0.0,0.0
23,0.6147415637969971,-0.7734689712524414,5.552842140197754,0.0,0.0,0.0,0.0,0.0
24,0.6051525473594666,-0.783058226108551,5.55284309387207,0.0,0.0,0.0,0.0,0.0
25,0.5960826873779297,-0.7921279668807983,5.552842617034912,0.0,0.0,0.0,0.0,0.0
26,0.5875651240348816,-0.800645649433136,5.55284309387207,0.0,0.0,0.0,0.0,0.0
27,0.5794795751571655,-0.808731198310852,5.55284309387207,0.0,0.0,0.0,0.0,0.0
28,0.5716226696968079,-0.8165879845619202,5.552842617034912,0.0,0.0,0.0,0.0,0.0
29,0.563835084438324,-0.824375569820404,5.552842617034912,0.0,0.0,0.0,0.0,0.0
30,0.5560960173606873,-0.8321147561073303,5.55284309387207,0.0,0.0,0.0,0.0,0.0
31,0.5485249757766724,-0.8396857976913452,5.55284309387207,0.0,0.0,0.0,0.0,0.0
32,0.541301965713501,-0.8469088077545166,5.55284309387207,0.0,0.0,0.0,0.0,0.0
33,0.5345718264579773,-0.8536390662193298,5.5528435707092285,0.0,0.0,0.0,0.0,0.0
34,0.5283905267715454,-0.8598200082778931,5.552842140197754,0.0,0.0,0.0,0.0,0.0
35,0.5227318406105042,-0.8654789328575134,5.55284309387207,0.0,0.0,0.0,0.0,0.0
36,0.5175263285636902,-0.8706844449043274,5.55284309387207,0.0,0.0,0.0,0.0,0.0
37,0.5127139687538147,-0.8754969239234924,5.5528435707092285,0.0,0.0,0.0,0.0,0.0
38,0.508273720741272,-0.8799370527267456,5.55284309387207,0.0,0.0,0.0,0.0,0.0
39,0.5042299628257751,-0.8839808106422424,5.55284309387207,0.0,0.0,0.0,0.0,0.0
40,0.5006308555603027,-0.8875799179077148,5.55284309387207,0.0,0.0,0.0,0.0,0.0
41,0.49751734733581543,-0.8906935453414917,5.5528435707092285,0.0,0.0,0.0,0.0,0.0
42,0.49489182233810425,-0.8933190703392029,5.5528435707092285,0.0,0.0,0.0,0.0,0.0
43,0.49270957708358765,-0.8955013155937195,5.5528435707092285,0.0,0.0,0.0,0.0,0.0
44,0.490892231464386,-0.8973186612129211,5.5528435707092285,0.0,0.0,0.0,0.0,0.0
45,0.4893597364425659,-0.8988511562347412,5.5528435707092285,0.0,0.0,0.0,0.0,0.0
46,0.4880583882331848,-0.9001522660255432,5.552842617034912,0.0,0.0,0.0,0.0,0.0
47,0.4869697093963623,-0.9012410640716553,5.55284309387207,0.0,0.0,0.0,0.0,0.0
48,0.4860948920249939,-0.9021158814430237,5.55284309387207,0.0,0.0,0.0,0.0,0.0
49,0.48543208837509155,-0.902778685092926,5.55284309387207,0.0,0.0,0.0,0.0,0.0
50,0.4849604368209839,-0.9032504558563232,5.5528435707092285,0.0,0.0,0.0,0.0,0.0
51,0.4846383333206177,-0.9035725593566895,5.5528435707092285,0.0,0.0,0.0,0.0,0.0
52,0.4844138026237488,-0.9037970900535583,5.5528435707092285,0.0,0.0,0.0,0.0,0.0
53,0.4842402935028076,-0.90397047996521,5.55284309387207,0.0,0.0,0.0,0.0,0.0
54,0.48408693075180054,-0.904123842716217,5.55284309387207,0.0,0.0,0.0,0.0,0.0
55,0.4839397072792053,-0.9042710661888123,5.55284309387207,0.0,0.0,0.0,0.0,0.0
56,0.4837961792945862,-0.9044145941734314,5.55284309387207,0.0,0.0,0.0,0.0,0.0
57,0.48365622758865356,-0.904554545879364,5.55284309387207,0.0,0.0,0.0,0.0,0.0
58,0.483515202999115,-0.9046956896781921,5.5528435707092285,0.0,0.0,0.0,0.0,0.0
59,0.48336338996887207,-0.9048475027084351,5.5528435707092285,0.0,0.0,0.0,0.0,0.0
60,0.4831908345222473,-0.9050199389457703,5.55284309387207,0.0,0.0,0.0,0.0,0.0
61,0.4829917550086975,-0.9052190184593201,5.55284309387207,0.0,0.0,0.0,0.0,0.0
62,0.4827693700790405,-0.905441403388977,5.55284309387207,0.0,0.0,0.0,0.0,0.0
63,0.4825325012207031,-0.9056782722473145,5.55284309387207,0.0,0.0,0.0,0.0,0.0
64,0.48229116201400757,-0.90591961145401,5.55284309387207,0.0,0.0,0.0,0.0,0.0
65,0.4820517301559448,-0.9061590433120728,5.55284309387207,0.0,0.0,0.0,0.0,0.0
66,0.4818139672279358,-0.9063968062400818,5.55284309387207,0.0,0.0,0.0,0.0,0.0
67,0.4815741777420044,-0.9066367149353027,5.5528435707092285,0.0,0.0,0.0,0.0,0.0
68,0.4813275933265686,-0.9068832993507385,5.5528435707092285,0.0,0.0,0.0,0.0,0.0
69,0.4810725450515747,-0.9071382284164429,5.55284309387207,0.0,0.0,0.0,0.0,0.0
70,0.4808118939399719,-0.9073988795280457,5.55284309387207,0.0,0.0,0.0,0.0,0.0
71,0.48054981231689453,-0.9076610803604126,5.5528435707092285,0.0,0.0,0.0,0.0,0.0
72,0.4802897572517395,-0.9079210162162781,5.55284309387207,0.0,0.0,0.0,0.0,0.0
73,0.48003292083740234,-0.9081779718399048,5.5528435707092285,0.0,0.0,0.0,0.0,0.0
74,0.47977668046951294,-0.9084339737892151,5.552842617034912,0.0,0.0,0.0,0.0,0.0
75,0.4795186519622803,-0.9086921215057373,5.55284309387207,0.0,0.0,0.0,0.0,0.0
76,0.47925692796707153,-0.908953845500946,5.55284309387207,0.0,0.0,0.0,0.0,0.0
77,0.4789925217628479,-0.9092181324958801,5.552842617034912,0.0,0.0,0.0,0.0,0.0
