epoch,total,mle,pl,ode,ic,monotonic,min_slope,baseline_ref
1,1.2222856283187866,-0.1289902627468109,5.40510368347168,0.0,0.0,0.0,0.0,0.0
2,1.1777615547180176,-0.17351453006267548,5.405104160308838,0.0,0.0,0.0,0.0,0.0
3,1.1354342699050903,-0.2158418595790863,5.405104637145996,0.0,0.0,0.0,0.0,0.0
4,1.0960358381271362,-0.2552400529384613,5.40510368347168,0.0,0.0,0.0,0.0,0.0
5,1.0606633424758911,-0.29061266779899597,5.405104160308838,0.0,0.0,0.0,0.0,0.0
6,1.0307929515838623,-0.3204830586910248,5.405104160308838,0.0,0.0,0.0,0.0,0.0
7,1.0080194473266602,-0.343256413936615,5.40510368347168,0.0,0.0,0.0,0.0,0.0
8,0.9926750659942627,-0.3586008846759796,5.40510368347168,0.0,0.0,0.0,0.0,0.0
9,0.9813681244850159,-0.3699079155921936,5.405104160308838,0.0,0.0,0.0,0.0,0.0
10,0.9685641527175903,-0.3827117681503296,5.40510368347168,0.0,0.0,0.0,0.0,0.0
11,0.9521530866622925,-0.39912307262420654,5.405104637145996,0.0,0.0,0.0,0.0,0.0
12,0.9327222108840942,-0.41855373978614807,5.40510368347168,0.0,0.0,0.0,0.0,0.0
13,0.9120259284973145,-0.43925008177757263,5.405104160308838,0.0,0.0,0.0,0.0,0.0
14,0.8918236494064331,-0.459452360868454,5.405104160308838,0.0,0.0,0.0,0.0,0.0
15,0.8732553720474243,-0.47802066802978516,5.405104160308838,0.0,0.0,0.0,0.0,0.0
16,0.8564612865447998,-0.4948146343231201,5.40510368347168,0.0,0.0,0.0,0.0,0.0
17,0.8410049080848694,-0.5102710127830505,5.40510368347168,0.0,0.0,0.0,0.0,0.0
18,0.8262801766395569,-0.5249958634376526,5.405104160308838,0.0,0.0,0.0,0.0,0.0
19,0.8117627501487732,-0.5395132899284363,5.405104160308838,0.0,0.0,0.0,0.0,0.0
20,0.7971107959747314,-0.554165244102478,5.405104160308838,0.0,0.0,0.0,0.0,0.0
21,0.7821739912033081,-0.5691020488739014,5.405104160308838,0.0,0.0,0.0,0.0,0.0
22,0.7669621109962463,-0.5843139290809631,5.405104160308838,0.0,0.0,0.0,0.0,0.0
23,0.7516025304794312,-0.5996736288070679,5.405104637145996,0.0,0.0,0.0,0.0,0.0
24,0.736293375492096,-0.6149827837944031,5.405104637145996,0.0,0.0,0.0,0.0,0.0
25,0.72125643491745,-0.6300196051597595,5.405104160308838,0.0,0.0,0.0,0.0,0.0
26,0.7066852450370789,-0.6445907950401306,5.405104160308838,0.0,0.0,0.0,0.0,0.0
27,0.6926942467689514,-0.6585817933082581,5.405104160308838,0.0,0.0,0.0,0.0,0.0
28,0.6792846918106079,-0.671991229057312,5.40510368347168,0.0,0.0,0.0,0.0,0.0
29,0.6663455963134766,-0.6849303245544434,5.40510368347168,0.0,0.0,0.0,0.0,0.0
30,0.6537008881568909,-0.6975751519203186,5.405104160308838,0.0,0.0,0.0,0.0,0.0
31,0.641194760799408,-0.7100812792778015,5.405104160308838,0.0,0.0,0.0,0.0,0.0
32,0.6287638545036316,-0.7225121855735779,5.405104160308838,0.0,0.0,0.0,0.0,0.0
33,0.6164599657058716,-0.7348160743713379,5.405104160308838,0.0,0.0,0.0,0.0,0.0
34,0.6044116616249084,-0.7468642592430115,5.40510368347168,0.0,0.0,0.0,0.0,0.0
35,0.592761218547821,-0.7585147023200989,5.40510368347168,0.0,0.0,0.0,0.0,0.0
36,0.5816097855567932,-0.7696661353111267,5.40510368347168,0.0,0.0,0.0,0.0,0.0
37,0.5709971189498901,-0.7802789211273193,5.405104160308838,0.0,0.0,0.0,0.0,0.0
38,0.5609103441238403,-0.7903655767440796,5.40510368347168,0.0,0.0,0.0,0.0,0.0
39,0.5513089895248413,-0.7999669313430786,5.40510368347168,0.0,0.0,0.0,0.0,0.0
40,0.5421505570411682,-0.8091254830360413,5.405104160308838,0.0,0.0,0.0,0.0,0.0
41,0.5334080457687378,-0.8178679943084717,5.405104160308838,0.0,0.0,0.0,0.0,0.0
42,0.5250774025917053,-0.8261985182762146,5.40510368347168,0.0,0.0,0.0,0.0,0.0
43,0.5171727538108826,-0.8341032862663269,5.405104160308838,0.0,0.0,0.0,0.0,0.0
44,0.509713888168335,-0.8415621519088745,5.405104160308838,0.0,0.0,0.0,0.0,0.0
45,0.5027135014533997,-0.8485626578330994,5.405104637145996,0.0,0.0,0.0,0.0,0.0
46,0.49616456031799316,-0.8551115989685059,5.405104637145996,0.0,0.0,0.0,0.0,0.0
47,0.49003881216049194,-0.8612373471260071,5.405104637145996,0.0,0.0,0.0,0.0,0.0
48,0.4842921495437622,-0.8669838905334473,5.405104160308838,0.0,0.0,0.0,0.0,0.0
49,0.4788792133331299,-0.8723969459533691,5.405104637145996,0.0,0.0,0.0,0.0,0.0
50,0.47376614809036255,-0.8775100111961365,5.405104637145996,0.0,0.0,0.0,0.0,0.0
51,0.4689408540725708,-0.8823354244232178,5.405105113983154,0.0,0.0,0.0,0.0,0.0
52,0.4644097685813904,-0.8868663907051086,5.405104637145996,0.0,0.0,0.0,0.0,0.0
53,0.46018874645233154,-0.891087532043457,5.405105113983154,0.0,0.0,0.0,0.0,0.0
54,0.4562888741493225,-0.8949874043464661,5.405105113983154,0.0,0.0,0.0,0.0,0.0
55,0.45270657539367676,-0.8985697031021118,5.405105113983154,0.0,0.0,0.0,0.0,0.0
56,0.44942349195480347,-0.9018529057502747,5.4051055908203125,0.0,0.0,0.0,0.0,0.0
57,0.4464110732078552,-0.9048653244972229,5.4051055908203125,0.0,0.0,0.0,0.0,0.0
58,0.443642258644104,-0.9076341390609741,5.4051055908203125,0.0,0.0,0.0,0.0,0.0
59,0.4410994052886963,-0.9101768732070923,5.405105113983154,0.0,0.0,0.0,0.0,0.0
60,0.4387778043746948,-0.9124985933303833,5.4051055908203125,0.0,0.0,0.0,0.0,0.0
61,0.4366794228553772,-0.9145969748497009,5.4051055908203125,0.0,0.0,0.0,0.0,0.0
62,0.434805691242218,-0.9164707064628601,5.4051055908203125,0.0,0.0,0.0,0.0,0.0
63,0.4331480860710144,-0.9181283116340637,5.4051055908203125,0.0,0.0,0.0,0.0,0.0
64,0.4316876530647278,-0.9195889830589294,5.405106544494629,0.0,0.0,0.0,0.0,0.0
65,0.43039846420288086,-0.9208780527114868,5.405106067657471,0.0,0.0,0.0,0.0,0.0
66,0.4292581081390381,-0.9220185279846191,5.405106544494629,0.0,0.0,0.0,0.0,0.0
67,0.4282519221305847,-0.9230247139930725,5.405106544494629,0.0,0.0,0.0,0.0,0.0
68,0.4273741841316223,-0.9239024519920349,5.405106544494629,0.0,0.0,0.0,0.0,0.0
69,0.42662036418914795,-0.9246562719345093,5.405106544494629,0.0,0.0,0.0,0.0,0.0
70,0.4259815812110901,-0.9252951741218567,5.405107021331787,0.0,0.0,0.0,0.0,0.0
71,0.4254406690597534,-0.9258362054824829,5.405107498168945,0.0,0.0,0.0,0.0,0.0
72,0.42497682571411133,-0.926300048828125,5.405107498168945,0.0,0.0,0.0,0.0,0.0
73,0.42457205057144165,-0.9267048239707947,5.405107498168945,0.0,0.0,0.0,0.0,0.0
74,0.4242141842842102,-0.9270626902580261,5.405107498168945,0.0,0.0,0.0,0.0,0.0
75,0.42389726638793945,-0.9273794889450073,5.405107021331787,0.0,0.0,0.0,0.0,0.0
76,0.4236171841621399,-0.927659809589386,5.4051079750061035,0.0,0.0,0.0,0.0,0.0
77,0.4233649969100952,-0.9279118776321411,5.405107498168945,0.0,0.0,0.0,0.0,0.0
78,0.4231306314468384,-0.9281463623046875,5.4051079750061035,0.0,0.0,0.0,0.0,0.0
79,0.42290258407592773,-0.9283742904663086,5.405107498168945,0.0,0.0,0.0,0.0,0.0
80,0.42267340421676636,-0.9286035895347595,5.4051079750061035,0.0,0.0,0.0,0.0,0.0
81,0.4224401116371155,-0.9288370013237,5.405108451843262,0.0,0.0,0.0,0.0,0.0
82,0.4222024083137512,-0.9290747046470642,5.405108451843262,0.0,0.0,0.0,0.0,0.0
83,0.42195993661880493,-0.9293171763420105,5.405108451843262,0.0,0.0,0.0,0.0,0.0
84,0.4217102527618408,-0.9295668601989746,5.405108451843262,0.0,0.0,0.0,0.0,0.0
85,0.42145007848739624,-0.9298270344734192,5.405108451843262,0.0,0.0,0.0,0.0,0.0
86,0.42117732763290405,-0.9300999045372009,5.40510892868042,0.0,0.0,0.0,0.0,0.0
87,0.4208923578262329,-0.9303848743438721,5.40510892868042,0.0,0.0,0.0,0.0,0.0
88,0.42059779167175293,-0.9306793212890625,5.405108451843262,0.0,0.0,0.0,0.0,0.0
89,0.4202967882156372,-0.9309805631637573,5.405109405517578,0.0,0.0,0.0,0.0,0.0
90,0.4199903607368469,-0.9312871098518372,5.405109882354736,0.0,0.0,0.0,0.0,0.0
91,0.4196785092353821,-0.9315988421440125,5.405109405517578,0.0,0.0,0.0,0.0,0.0
92,0.41936230659484863,-0.9319151639938354,5.405109882354736,0.0,0.0,0.0,0.0,0.0
93,0.41904258728027344,-0.9322348833084106,5.405109882354736,0.0,0.0,0.0,0.0,0.0
94,0.4187217950820923,-0.9325556755065918,5.405109882354736,0.0,0.0,0.0,0.0,0.0
95,0.41840237379074097,-0.9328750967979431,5.405109882354736,0.0,0.0,0.0,0.0,0.0
96,0.41808515787124634,-0.9331921935081482,5.405109405517578,0.0,0.0,0.0,0.0,0.0
97,0.417771577835083,-0.9335058927536011,5.405109882354736,0.0,0.0,0.0,0.0,0.0
98,0.4174610376358032,-0.9338164329528809,5.405109882354736,0.0,0.0,0.0,0.0,0.0
99,0.4171544313430786,-0.9341230392456055,5.405109882354736,0.0,0.0,0.0,0.0,0.0
100,0.41685277223587036,-0.9344248175621033,5.4051103591918945,0.0,0.0,0.0,0.0,0.0
101,0.4165564775466919,-0.9347211122512817,5.4051103591918945,0.0,0.0,0.0,0.0,0.0
