epoch,total,mle,pl,ode,ic,monotonic,min_slope,smoothness,baseline_ref
1,1.3103415966033936,-0.058321475982666016,5.474617958068848,0.0,0.0,0.0,0.0,8.59347210280248e-07,0.0
2,1.2697187662124634,-0.09894134849309921,5.474618434906006,0.0,0.0,0.0,0.0,5.528560222956003e-07,0.0
3,1.2298483848571777,-0.13880926370620728,5.474617958068848,0.0,0.0,0.0,0.0,3.133540360522602e-07,0.0
4,1.1907471418380737,-0.17790880799293518,5.474617958068848,0.0,0.0,0.0,0.0,1.4029718897745624e-07,0.0
5,1.1524115800857544,-0.21624326705932617,5.474617958068848,0.0,0.0,0.0,0.0,3.5134707587758385e-08,0.0
6,1.122261643409729,-0.25383344292640686,5.474618434906006,0.0,0.0,0.007440407760441303,0.0,1.3849049684822035e-10,0.0
7,1.1262372732162476,-0.2842678725719452,5.474618434906006,0.0,0.0,0.041850414127111435,0.0,1.1140259381647866e-08,0.0
8,1.1246261596679688,-0.3056584596633911,5.474618434906006,0.0,0.0,0.061629943549633026,0.0,1.4531761571845436e-08,0.0
9,1.1057097911834717,-0.32046225666999817,5.474618434906006,0.0,0.0,0.05751731991767883,0.0,6.0133333867895544e-09,0.0
10,1.079145073890686,-0.3303842842578888,5.474618434906006,0.0,0.0,0.040874771773815155,0.0,6.944531061314763e-10,0.0
11,1.059308648109436,-0.33680981397628784,5.474618434906006,0.0,0.0,0.02746366523206234,0.0,1.7383065653575613e-08,0.0
12,1.046838641166687,-0.3422516882419586,5.474619388580322,0.0,0.0,0.020434852689504623,0.0,6.554862608254552e-08,0.0
13,1.0366135835647583,-0.3491208553314209,5.4746198654174805,0.0,0.0,0.017078209668397903,0.0,1.3306627977272e-07,0.0
14,1.026165246963501,-0.3582291901111603,5.4746198654174805,0.0,0.0,0.015737362205982208,0.0,2.0258391941752052e-07,0.0
15,1.0146169662475586,-0.36968955397605896,5.474620342254639,0.0,0.0,0.015648875385522842,0.0,2.610979947803571e-07,0.0
16,1.0018255710601807,-0.38329949975013733,5.474620342254639,0.0,0.0,0.01646697334945202,0.0,3.015527454408584e-07,0.0
17,0.987975537776947,-0.39871397614479065,5.474620819091797,0.0,0.0,0.018031075596809387,0.0,3.218405311145034e-07,0.0
18,0.9733883738517761,-0.415519118309021,5.474621772766113,0.0,0.0,0.020248843356966972,0.0,3.234767405047023e-07,0.0
19,0.9584175944328308,-0.43325933814048767,5.474621772766113,0.0,0.0,0.02301843650639057,0.0,3.1035216352393036e-07,0.0
20,0.9433680772781372,-0.45144978165626526,5.47462272644043,0.0,0.0,0.026159288361668587,0.0,2.8774641691597935e-07,0.0
21,0.9284155964851379,-0.46958625316619873,5.474623203277588,0.0,0.0,0.02934339828789234,0.0,2.615579148823599e-07,0.0
22,0.9135429859161377,-0.4871760308742523,5.474624156951904,0.0,0.0,0.032060641795396805,0.0,2.3733201715003815e-07,0.0
23,0.8985432386398315,-0.503797173500061,5.4746246337890625,0.0,0.0,0.033682022243738174,0.0,2.1964069674140774e-07,0.0
24,0.8831469416618347,-0.5191876292228699,5.474625587463379,0.0,0.0,0.033676113933324814,0.0,2.1136422390100051e-07,0.0
25,0.8672299385070801,-0.5333161354064941,5.474626064300537,0.0,0.0,0.03188738599419594,0.0,2.1357713819725177e-07,0.0
26,0.8509198427200317,-0.5463880300521851,5.474626541137695,0.0,0.0,0.028648952022194862,0.0,2.2559939338862023e-07,0.0
27,0.8345052599906921,-0.5587827563285828,5.4746270179748535,0.0,0.0,0.02462880127131939,0.0,2.4519650310139696e-07,0.0
28,0.8182388544082642,-0.5709624886512756,5.474628448486328,0.0,0.0,0.02054155431687832,0.0,2.6887445869760995e-07,0.0
29,0.802210807800293,-0.5833754539489746,5.4746294021606445,0.0,0.0,0.01692596822977066,0.0,2.922276962635806e-07,0.0
30,0.7863557934761047,-0.5963767170906067,5.474629878997803,0.0,0.0,0.0140719348564744,0.0,3.1078934625838883e-07,0.0
31,0.770550549030304,-0.6101701855659485,5.474630832672119,0.0,0.0,0.012059811502695084,0.0,3.210418242360902e-07,0.0
32,0.754719614982605,-0.6247826814651489,5.474631309509277,0.0,0.0,0.01084126252681017,0.0,3.211324326457543e-07,0.0
33,0.7389000654220581,-0.6400629281997681,5.474632740020752,0.0,0.0,0.010301698930561543,0.0,3.1140930900619423e-07,0.0
34,0.7232458591461182,-0.6557087302207947,5.474633693695068,0.0,0.0,0.010293236933648586,0.0,2.9422216130114975e-07,0.0
35,0.7079691290855408,-0.6713130474090576,5.474634647369385,0.0,0.0,0.010620792396366596,0.0,2.7370757038625015e-07,0.0
