epoch,total,mle,pl,ode,ic,monotonic,min_slope,smoothness,baseline_ref
1,1.4035112857818604,0.01731899194419384,5.512905597686768,0.0,0.0,0.07964083552360535,0.0,1.820959596443572e-07,0.0
2,1.3852943181991577,0.003047631122171879,5.512905120849609,0.0,0.0,0.04019543156027794,0.0,9.444364934552141e-08,0.0
3,1.367872714996338,-0.013191396370530128,5.512905597686768,0.0,0.0,0.02837025187909603,0.0,6.005164010502995e-08,0.0
4,1.350754737854004,-0.03017069771885872,5.512905120849609,0.0,0.0,0.02698681503534317,0.0,4.5300836859496485e-08,0.0
5,1.3340327739715576,-0.04727806895971298,5.512905597686768,0.0,0.0,0.030840812250971794,0.0,3.770502132738329e-08,0.0
6,1.3177857398986816,-0.06411392986774445,5.512905120849609,0.0,0.0,0.03673018887639046,0.0,3.1396105271142005e-08,0.0
7,1.3019846677780151,-0.08042819052934647,5.512905597686768,0.0,0.0,0.04186251387000084,0.0,2.37304256245352e-08,0.0
8,1.2865632772445679,-0.09612441062927246,5.512906074523926,0.0,0.0,0.044610798358917236,0.0,1.4693066319182435e-08,0.0
9,1.2714929580688477,-0.11126027256250381,5.512906074523926,0.0,0.0,0.04526565223932266,0.0,6.361926541131879e-09,0.0
10,1.2567886114120483,-0.12598121166229248,5.512907028198242,0.0,0.0,0.045431166887283325,0.0,1.321715736857243e-09,0.0
11,1.2424684762954712,-0.14044392108917236,5.512907028198242,0.0,0.0,0.04685653746128082,0.0,1.0237701797422005e-09,0.0
12,1.2285287380218506,-0.15475760400295258,5.512906551361084,0.0,0.0,0.050596628338098526,0.0,5.140068370934614e-09,0.0
13,1.2149467468261719,-0.16895046830177307,5.5129075050354,0.0,0.0,0.05670208856463432,0.0,1.2095065393680215e-08,0.0
14,1.2017080783843994,-0.1829330176115036,5.5129075050354,0.0,0.0,0.06413960456848145,0.0,2.0851190996040714e-08,0.0
15,1.188829779624939,-0.19657132029533386,5.5129075050354,0.0,0.0,0.07173839211463928,0.0,3.196850073550195e-08,0.0
16,1.1763097047805786,-0.2097531110048294,5.512907981872559,0.0,0.0,0.07835404574871063,0.0,4.7482821230460104e-08,0.0
17,1.164122223854065,-0.22241267561912537,5.512907981872559,0.0,0.0,0.0830727219581604,0.0,7.06839315967045e-08,0.0
18,1.152234435081482,-0.23453561961650848,5.512907981872559,0.0,0.0,0.08541900664567947,0.0,1.0598585475918298e-07,0.0
19,1.140618920326233,-0.24614843726158142,5.512908458709717,0.0,0.0,0.0853874459862709,0.0,1.5879557224707241e-07,0.0
20,1.129256010055542,-0.2572994828224182,5.512908458709717,0.0,0.0,0.08326048403978348,0.0,2.355935180275992e-07,0.0
21,1.1181291341781616,-0.26804593205451965,5.512908935546875,0.0,0.0,0.07944335043430328,0.0,3.4387113601042074e-07,0.0
22,1.107221245765686,-0.27844691276550293,5.512908935546875,0.0,0.0,0.07436082512140274,0.0,4.922020480080391e-07,0.0
23,1.0965148210525513,-0.2885594666004181,5.512909412384033,0.0,0.0,0.06839942932128906,0.0,6.903152325321571e-07,0.0
24,1.085988998413086,-0.29843705892562866,5.512909889221191,0.0,0.0,0.061891019344329834,0.0,9.492944741396059e-07,0.0
25,1.075622797012329,-0.30812910199165344,5.512909889221191,0.0,0.0,0.055115871131420135,0.0,1.2814979299946572e-06,0.0
26,1.0653952360153198,-0.31768009066581726,5.512909889221191,0.0,0.0,0.04830777645111084,0.0,1.7007266706059454e-06,0.0
27,1.0552864074707031,-0.32712921500205994,5.512909889221191,0.0,0.0,0.04166046902537346,0.0,2.222104967586347e-06,0.0
28,1.0452797412872314,-0.33650946617126465,5.512909889221191,0.0,0.0,0.03533107787370682,0.0,2.8618349006137578e-06,0.0
29,1.035361409187317,-0.34584686160087585,5.512910842895508,0.0,0.0,0.02944241091609001,0.0,3.637371946751955e-06,0.0
30,1.0255213975906372,-0.35516026616096497,5.51291036605835,0.0,0.0,0.024084342643618584,0.0,4.566635197988944e-06,0.0
31,1.0157546997070312,-0.36446115374565125,5.512910842895508,0.0,0.0,0.019315142184495926,0.0,5.667899131367449e-06,0.0
32,1.0060597658157349,-0.3737541735172272,5.512911796569824,0.0,0.0,0.015163395553827286,0.0,6.959873644518666e-06,0.0
33,0.9964380264282227,-0.3830376863479614,5.512912273406982,0.0,0.0,0.011630769819021225,0.0,8.460599019599613e-06,0.0
34,0.9868944883346558,-0.39230504631996155,5.512912273406982,0.0,0.0,0.008695648051798344,0.0,1.018806597130606e-05,0.0
35,0.9774364233016968,-0.4015452265739441,5.512913227081299,0.0,0.0,0.0063175661489367485,0.0,1.215967677126173e-05,0.0
36,0.9680730104446411,-0.4107435941696167,5.512913703918457,0.0,0.0,0.004442126955837011,0.0,1.4391683180292603e-05,0.0
37,0.9588155150413513,-0.41988247632980347,5.512913703918457,0.0,0.0,0.0030060724820941687,0.0,1.690072167548351e-05,0.0
38,0.9496787190437317,-0.4289413094520569,5.512915134429932,0.0,0.0,0.0019421715987846255,0.0,1.9702978534041904e-05,0.0
39,0.9406790733337402,-0.4378962218761444,5.512915134429932,0.0,0.0,0.0011835331097245216,0.0,2.2815300326328725e-05,0.0
40,0.9318383932113647,-0.44672003388404846,5.512916564941406,0.0,0.0,0.0006670933798886836,0.0,2.6255074772052467e-05,0.0
41,0.9231815338134766,-0.45538172125816345,5.5129170417785645,0.0,0.0,0.00033608198282308877,0.0,3.0041994250495918e-05,0.0
42,0.9147385954856873,-0.4638468623161316,5.512917518615723,0.0,0.0,0.0001414114231010899,0.0,3.419670247239992e-05,0.0
43,0.9065435528755188,-0.47207769751548767,5.512918472290039,0.0,0.0,4.207500023767352e-05,0.0,3.8742844481021166e-05,0.0
44,0.8986331224441528,-0.48003411293029785,5.512918949127197,0.0,0.0,4.631113370123785e-06,0.0,4.370468741399236e-05,0.0
45,0.8910462260246277,-0.4876749813556671,5.512920379638672,0.0,0.0,0.0,0.0,4.9108737584901974e-05,0.0
46,0.883820652961731,-0.4949592649936676,5.512920379638672,0.0,0.0,0.0,0.0,5.49805372429546e-05,0.0
47,0.8769969344139099,-0.5018468499183655,5.512921333312988,0.0,0.0,0.0,0.0,6.134301656857133e-05,0.0
48,0.8706128001213074,-0.5082998871803284,5.512922286987305,0.0,0.0,0.0,0.0,6.821388524258509e-05,0.0
49,0.8647037744522095,-0.5142830610275269,5.512923240661621,0.0,0.0,0.0,0.0,7.560093217762187e-05,0.0
50,0.8593016266822815,-0.5197645425796509,5.512924671173096,0.0,0.0,0.0,0.0,8.35001774248667e-05,0.0
51,0.8544334769248962,-0.5247167348861694,5.512925148010254,0.0,0.0,0.0,0.0,9.189283446175978e-05,0.0
52,0.8501200675964355,-0.5291188955307007,5.51292610168457,0.0,0.0,0.0,0.0,0.00010074301826534793,0.0
53,0.8463731408119202,-0.532958447933197,5.5129265785217285,0.0,0.0,0.0,0.0,0.00010999594815075397,0.0
54,0.8431938886642456,-0.5362337827682495,5.512927532196045,0.0,0.0,0.0,0.0,0.00011957832612097263,0.0
55,0.8405697345733643,-0.5389562845230103,5.512928009033203,0.0,0.0,0.0,0.0,0.00012940158194396645,0.0
56,0.8384749293327332,-0.5411509871482849,5.5129289627075195,0.0,0.0,0.0,0.0,0.00013936488539911807,0.0
57,0.8368694186210632,-0.5428565144538879,5.512929439544678,0.0,0.0,0.0,0.0,0.00014935591025277972,0.0
58,0.8357016444206238,-0.5441237092018127,5.512930870056152,0.0,0.0,0.0,0.0,0.0001592614862602204,0.0
59,0.8349078893661499,-0.5450143814086914,5.512930393218994,0.0,0.0,0.0,0.0,0.00016896658053155988,0.0
60,0.8344185948371887,-0.5455977320671082,5.512930870056152,0.0,0.0,0.0,0.0,0.00017836090410128236,0.0
61,0.8341578841209412,-0.5459485054016113,5.512931823730469,0.0,0.0,5.307614969751739e-07,0.0,0.00018733747128862888,0.0
62,0.8340510725975037,-0.5461418628692627,5.512932300567627,0.0,0.0,1.9102197256870568e-05,0.0,0.00019579799845814705,0.0
63,0.8340298533439636,-0.5462493896484375,5.512932300567627,0.0,0.0,9.654424502514303e-05,0.0,0.00020365306409075856,0.0
64,0.8340358138084412,-0.546333909034729,5.512932777404785,0.0,0.0,0.00028335463139228523,0.0,0.00021081871818751097,0.0
65,0.834023118019104,-0.5464462637901306,5.512933254241943,0.0,0.0,0.0006382365245372057,0.0,0.00021722391829825938,0.0
66,0.8339604139328003,-0.5466235280036926,5.512933254241943,0.0,0.0,0.0012251281877979636,0.0,0.00022281173733063042,0.0
67,0.8338314294815063,-0.5468884110450745,5.51293420791626,0.0,0.0,0.0021090542431920767,0.0,0.00022754137171432376,0.0
68,0.8336318731307983,-0.5472508072853088,5.512934684753418,0.0,0.0,0.0033508941996842623,0.0,0.0002313931327080354,0.0
69,0.8333680033683777,-0.5477093458175659,5.51293420791626,0.0,0.0,0.005000995472073555,0.0,0.0002343715459574014,0.0
70,0.8330546021461487,-0.5482531785964966,5.51293420791626,0.0,0.0,0.007091894280165434,0.0,0.00023650478397030383,0.0
71,0.8327105045318604,-0.5488646030426025,5.51293420791626,0.0,0.0,0.00963094923645258,0.0,0.00023784443328622729,0.0
72,0.8323562741279602,-0.5495214462280273,5.512934684753418,0.0,0.0,0.012594377622008324,0.0,0.00023845928080845624,0.0
73,0.832011342048645,-0.5501992702484131,5.512935161590576,0.0,0.0,0.015924368053674698,0.0,0.00023843449889682233,0.0
74,0.8316911458969116,-0.5508742928504944,5.512935161590576,0.0,0.0,0.0195307619869709,0.0,0.00023785674420651048,0.0
75,0.8314069509506226,-0.5515246391296387,5.512934684753418,0.0,0.0,0.02329762652516365,0.0,0.0002368132263654843,0.0
76,0.8311647176742554,-0.5521320700645447,5.51293420791626,0.0,0.0,0.027093887329101562,0.0,0.00023538769164588302,0.0
77,0.8309663534164429,-0.5526825785636902,5.512935161590576,0.0,0.0,0.030785687267780304,0.0,0.00023365406377706677,0.0
78,0.8308085203170776,-0.5531666278839111,5.512934684753418,0.0,0.0,0.034247931092977524,0.0,0.0002316731115570292,0.0
79,0.8306861519813538,-0.5535799264907837,5.512935161590576,0.0,0.0,0.03737274184823036,0.0,0.0002295032754773274,0.0
80,0.8305914402008057,-0.553921639919281,5.512935161590576,0.0,0.0,0.04007400572299957,0.0,0.00022719196567777544,0.0
81,0.8305160403251648,-0.5541945695877075,5.512935638427734,0.0,0.0,0.04228828474879265,0.0,0.00022478451137430966,0.0
82,0.8304514288902283,-0.5544031262397766,5.512935638427734,0.0,0.0,0.04397372156381607,0.0,0.00022232321498449892,0.0
83,0.8303903341293335,-0.5545527935028076,5.512935161590576,0.0,0.0,0.04510817676782608,0.0,0.00021985083003528416,0.0
84,0.8303273320198059,-0.554649293422699,5.512935161590576,0.0,0.0,0.04568793624639511,0.0,0.0002174038381781429,0.0
85,0.830258309841156,-0.5546984672546387,5.512935638427734,0.0,0.0,0.04572715982794762,0.0,0.0002150194632122293,0.0
86,0.8301808834075928,-0.5547062158584595,5.512936115264893,0.0,0.0,0.04525763541460037,0.0,0.00021272903541103005,0.0
87,0.8300936818122864,-0.5546786785125732,5.512936115264893,0.0,0.0,0.04432789236307144,0.0,0.00021055477554909885,0.0
88,0.8299976587295532,-0.5546217560768127,5.512936592102051,0.0,0.0,0.04300090670585632,0.0,0.00020851501903962344,0.0
89,0.8298935890197754,-0.5545417070388794,5.512936592102051,0.0,0.0,0.04135024920105934,0.0,0.0002066158631350845,0.0
90,0.8297842144966125,-0.5544440150260925,5.512936592102051,0.0,0.0,0.039454687386751175,0.0,0.00020486234279815108,0.0
91,0.8296719789505005,-0.5543341636657715,5.512937545776367,0.0,0.0,0.03739254176616669,0.0,0.00020325029618106782,0.0
92,0.8295590877532959,-0.554216742515564,5.512937545776367,0.0,0.0,0.03523646295070648,0.0,0.00020177775877527893,0.0
93,0.8294482827186584,-0.5540955662727356,5.512938022613525,0.0,0.0,0.0330498032271862,0.0,0.00020043797849211842,0.0
