epoch,total,mle,pl,ode,ic,monotonic,min_slope,smoothness,baseline_ref
1,1.3974372148513794,0.033072322607040405,5.425595760345459,0.0,0.0,0.07964083552360535,0.0,1.820959596443572e-07,0.0
2,1.3778964281082153,0.014476630836725235,5.425595760345459,0.0,0.0,0.07019367069005966,0.0,1.4519244473376602e-07,0.0
3,1.3588063716888428,-0.0043064141646027565,5.425595760345459,0.0,0.0,0.0671263262629509,0.0,1.20793814062381e-07,0.0
4,1.3401728868484497,-0.022835619747638702,5.425596237182617,0.0,0.0,0.06608540564775467,0.0,1.00286527526805e-07,0.0
5,1.3219842910766602,-0.04091822728514671,5.425596237182617,0.0,0.0,0.06502578407526016,0.0,8.039215515509568e-08,0.0
6,1.3042134046554565,-0.05854615196585655,5.425595760345459,0.0,0.0,0.0636010393500328,0.0,6.110170858164565e-08,0.0
7,1.2868342399597168,-0.07578761875629425,5.425596714019775,0.0,0.0,0.06222212687134743,0.0,4.349934101810504e-08,0.0
8,1.269822359085083,-0.0927211120724678,5.425596714019775,0.0,0.0,0.06144034489989281,0.0,2.8574094201871958e-08,0.0
9,1.2531585693359375,-0.10941740870475769,5.425596714019775,0.0,0.0,0.061767272651195526,0.0,1.6933993762791033e-08,0.0
10,1.236825942993164,-0.12592704594135284,5.425597190856934,0.0,0.0,0.06353655457496643,0.0,8.710564713965141e-09,0.0
11,1.2208120822906494,-0.14226511120796204,5.425597190856934,0.0,0.0,0.06677837669849396,0.0,3.6391027968818435e-09,0.0
12,1.2051128149032593,-0.1584082841873169,5.425597190856934,0.0,0.0,0.07121847569942474,0.0,1.2935789106549578e-09,0.0
13,1.1897330284118652,-0.17430832982063293,5.42559814453125,0.0,0.0,0.0764181837439537,0.0,1.3648139285393768e-09,0.0
14,1.174683690071106,-0.18991227447986603,5.42559814453125,0.0,0.0,0.08196458965539932,0.0,3.788147129313302e-09,0.0
15,1.1599845886230469,-0.20517757534980774,5.425598621368408,0.0,0.0,0.08762414008378983,0.0,8.677859320016523e-09,0.0
16,1.1456581354141235,-0.2200758159160614,5.425599098205566,0.0,0.0,0.09334123879671097,0.0,1.6139122038794085e-08,0.0
17,1.1317133903503418,-0.2345442920923233,5.425599575042725,0.0,0.0,0.09857572615146637,0.0,2.658847897407668e-08,0.0
18,1.1181613206863403,-0.24849407374858856,5.425599098205566,0.0,0.0,0.10255158692598343,0.0,4.126979291640964e-08,0.0
19,1.1050127744674683,-0.261853963136673,5.425599098205566,0.0,0.0,0.10466328263282776,0.0,6.225533155657104e-08,0.0
20,1.0922777652740479,-0.2745828628540039,5.425599575042725,0.0,0.0,0.10459832102060318,0.0,9.235218811909363e-08,0.0
