epoch,total,mle,pl,ode,ic,monotonic,min_slope,smoothness,baseline_ref
1,71.60972595214844,1.7352837324142456,5.552841663360596,38.172916412353516,30.313318252563477,1.617186285329808e-06,0.0,2.1347257472825731e-07,0.0
2,68.32196807861328,1.762359380722046,5.552842140197754,35.10918426513672,30.062213897705078,4.9110349209513515e-06,0.0,3.13389023176569e-07,0.0
3,65.26292419433594,1.7893187999725342,5.552841663360596,32.276405334472656,29.80898094177246,1.015727139019873e-05,0.0,4.307846381834679e-07,0.0
4,62.415184020996094,1.8161108493804932,5.552842140197754,29.65749168395996,29.553367614746094,1.736751255521085e-05,0.0,5.6445333029842e-07,0.0
5,59.761714935302734,1.8427653312683105,5.552841663360596,27.235654830932617,29.29507064819336,2.6316585717722774e-05,0.0,7.141204036997806e-07,0.0
6,57.2862434387207,1.8693420886993408,5.552841663360596,24.994747161865234,29.033931732177734,3.6862915294477716e-05,0.0,8.801672493063961e-07,0.0
7,54.97415542602539,1.8959052562713623,5.552842140197754,22.920135498046875,28.76988983154297,4.906378671876155e-05,0.0,1.0632784324116074e-06,0.0
8,52.8122444152832,1.9225032329559326,5.552842617034912,20.998781204223633,28.502731323242188,6.312259210972115e-05,0.0,1.2643246236621053e-06,0.0
9,50.78868865966797,1.9491628408432007,5.552842140197754,19.219112396240234,28.232181549072266,7.93374638305977e-05,0.0,1.4841351685390691e-06,0.0
10,48.892791748046875,1.9758968353271484,5.552842617034912,17.570798873901367,27.957857131958008,9.80695040198043e-05,0.0,1.7236230860362411e-06,0.0
11,47.1148681640625,2.0027055740356445,5.552842140197754,16.044593811035156,27.679325103759766,0.00011973260552622378,0.0,1.9837182207993465e-06,0.0
12,45.44611740112305,2.029580593109131,5.552842140197754,14.63216495513916,27.3961238861084,0.00014479290985036641,0.0,2.2652673123957356e-06,0.0
13,43.878562927246094,2.056506872177124,5.552842140197754,13.325980186462402,27.107820510864258,0.00017377013864461333,0.0,2.5689937501738314e-06,0.0
14,42.40488815307617,2.083462953567505,5.552841663360596,12.119140625,26.81402587890625,0.000207240111194551,0.0,2.895622628784622e-06,0.0
15,41.01837158203125,2.1104228496551514,5.552842140197754,11.005297660827637,26.51438331604004,0.00024583941558375955,0.0,3.2456882763653994e-06,0.0
16,39.71280288696289,2.137355327606201,5.552842140197754,9.978557586669922,26.208614349365234,0.0002902709529735148,0.0,3.619488552430994e-06,0.0
17,38.48237991333008,2.1642215251922607,5.552842617034912,9.033418655395508,25.896453857421875,0.00034131159191019833,0.0,4.017185347038321e-06,0.0
18,37.3216438293457,2.19097638130188,5.552841663360596,8.164725303649902,25.577648162841797,0.0003998191386926919,0.0,4.438789801497478e-06,0.0
19,36.22550964355469,2.217564582824707,5.552842617034912,7.367630958557129,25.25200843811035,0.00046674261102452874,0.0,4.883533620159142e-06,0.0
20,35.189109802246094,2.243922233581543,5.55284309387207,6.637541770935059,24.919326782226562,0.0005431313766166568,0.0,5.350741957954597e-06,0.0
21,34.20779037475586,2.2699732780456543,5.552842617034912,5.970094203948975,24.579389572143555,0.0006301475805230439,0.0,5.838936885993462e-06,0.0
22,33.2771110534668,2.295633316040039,5.5528435707092285,5.36113166809082,24.231998443603516,0.0007290798821486533,0.0,6.346403097268194e-06,0.0
23,32.3928337097168,2.320805072784424,5.552842617034912,4.806670188903809,23.876995086669922,0.0008413580944761634,0.0,6.870499419164844e-06,0.0
24,31.550840377807617,2.3453822135925293,5.55284309387207,4.302896022796631,23.514179229736328,0.0009685723343864083,0.0,7.408164947264595e-06,0.0
25,30.747207641601562,2.369248867034912,5.55284309387207,3.8461520671844482,23.14340591430664,0.0011124947341158986,0.0,7.95588675828185e-06,0.0
26,29.97820281982422,2.3922793865203857,5.55284309387207,3.432939052581787,22.76456069946289,0.0012751034228131175,0.0,8.509007784596179e-06,0.0
27,29.24022674560547,2.414341449737549,5.5528435707092285,3.0599112510681152,22.377527236938477,0.0014586097095161676,0.0,9.06263267097529e-06,0.0
28,28.5299129486084,2.435295343399048,5.5528435707092285,2.723879814147949,21.98226547241211,0.0016654918435961008,0.0,9.611232599127106e-06,0.0
29,27.84403419494629,2.4549951553344727,5.5528435707092285,2.4218106269836426,21.578725814819336,0.0018985330825671554,0.0,1.0148253750230651e-05,0.0
30,27.17955780029297,2.4732916355133057,5.5528435707092285,2.1508288383483887,21.16690444946289,0.0021608611568808556,0.0,1.0667064088920597e-05,0.0
31,26.533672332763672,2.490032911300659,5.5528435707092285,1.9082255363464355,20.746843338012695,0.0024559928569942713,0.0,1.1160643225593958e-05,0.0
32,25.903722763061523,2.505065441131592,5.5528435707092285,1.6914492845535278,20.318601608276367,0.002787894569337368,0.0,1.1620838449744042e-05,0.0
33,25.287294387817383,2.5182368755340576,5.552844524383545,1.498113751411438,19.882295608520508,0.0031610303558409214,0.0,1.2041269656037912e-05,0.0
34,24.682165145874023,2.5293984413146973,5.552844524383545,1.32599675655365,19.43807601928711,0.0035804319195449352,0.0,1.2413411241141148e-05,0.0
35,24.086299896240234,2.5384039878845215,5.552844524383545,1.1730347871780396,18.98611831665039,0.0040517691522836685,0.0,1.2730028174701147e-05,0.0
36,23.49791145324707,2.545114278793335,5.552844524383545,1.0373268127441406,18.52667236328125,0.004581429064273834,0.0,1.2984217391931452e-05,0.0
37,22.91541290283203,2.549398422241211,5.552844524383545,0.917123019695282,18.06003189086914,0.0051765949465334415,0.0,1.3169542398827616e-05,0.0
38,22.3373966217041,2.551133394241333,5.552844524383545,0.8108248710632324,17.586509704589844,0.005845350679010153,0.0,1.3279644008434843e-05,0.0
39,21.762693405151367,2.550208330154419,5.552844524383545,0.7169743776321411,17.10650634765625,0.00659677991643548,0.0,1.3310843314684462e-05,0.0
40,21.19033432006836,2.546522855758667,5.552845478057861,0.6342495679855347,16.620473861694336,0.0074410755187273026,0.0,1.3258865692478139e-05,0.0
41,20.619516372680664,2.539989948272705,5.552845001220703,0.5614542961120605,16.128890991210938,0.008389681577682495,0.0,1.3121372830937617e-05,0.0
42,20.049644470214844,2.5305378437042236,5.552845478057861,0.497511088848114,15.632308006286621,0.009455416351556778,0.0,1.2897210581286345e-05,0.0
43,19.480304718017578,2.5181069374084473,5.552845478057861,0.44145339727401733,15.131340980529785,0.010652647353708744,0.0,1.2586909178935457e-05,0.0
44,18.91124725341797,2.502654552459717,5.5528459548950195,0.3924157917499542,14.626643180847168,0.011997447349131107,0.0,1.2191997484478634e-05,0.0
45,18.34238624572754,2.484151601791382,5.5528459548950195,0.3496268689632416,14.118929862976074,0.013507820665836334,0.0,1.1716285371221602e-05,0.0
